Image,Location name,ratings,comments,ratings(# reviews),location type
https://lh5.googleusercontent.com/p/AF1QipOBT5uBCRB2E6HtgatoiBlvI3xSqcpcoEZunVvD=w92-h92-k-no,ActiveSG Gym at Toa Payoh West CC,2.8,gym (i),2.8(60),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipOM28vRbofqQ5I6xmdyYHOWvLyZlAteCD4iE9xc=w122-h92-k-no,Clementi ActiveSG Gym,3.7,gym (i),3.7(99),Temporarily closed 
https://lh5.googleusercontent.com/p/AF1QipNCvK9DzR0uERzvvWvm1HpI9v_B-amNKeZmrPfu=w122-h92-k-no,Jurong Lake Gardens ActiveSG Gym,4.6,gym (i),4.6(275),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipP6_LewyMyxwC7trUvJOYvHj1N9aPrwd6GoDjrP=w122-h92-k-no,Kallang Basin Active Sg Gym,3.4,gym (i),3.4(7),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipP2hqZkQy77I7sl7eBVh8vb5lQGp-A6Qi2JXQCY=w153-h92-k-no,Bukit Purmei Hillock Park,,football (O),,
https://lh5.googleusercontent.com/p/AF1QipPMKkMswdiO-SbIphFg8asaTK0p3TBqtKjwwBNn=w160-h92-k-no,Singapore Botanic Gardens,4.7,running (O),"4.7(40,869)",Botanical garden 
https://lh5.googleusercontent.com/p/AF1QipPku6MJEsq7H6dcbYWHhsY1CvYQXrnTqF8LYzuj=w138-h92-k-no,HortPark,4.5,running (O),"4.5(3,162)",Park 
https://lh5.googleusercontent.com/p/AF1QipM8N4tkXNB4yAI94s2R5nLbDPwIOZLOL8rLhtWL=w122-h92-k-no,Tiong Bahru Park,4.4,running (O),4.4(854),Park 
https://lh5.googleusercontent.com/p/AF1QipOlXbppktlKo-Kdpa1Ef8MnGIeE9tNgqlp9kdP4=w92-h92-k-no,Henderson Waves,4.6,running (O),4.6(357),Bridge 
https://lh5.googleusercontent.com/p/AF1QipNFjXBFdSkFkBxco4qa4EoKAprwdF4ZseBX6EwE=w137-h92-k-no,Southern Ridges,4.6,running (O),"4.6(3,263)",Park 
https://lh5.googleusercontent.com/p/AF1QipPMzdUOj97856YM3v7VQ-a_gZWzqBQ8-COghcTS=w80-h169-k-no,Swimming Pool Annexe,,swimming (o),Swimming pool ,Swimming pool 
https://lh5.googleusercontent.com/p/AF1QipOKiwstR1muiLM9Zobni-5CvWe1ZeizIlQNXNA8=w93-h92-k-no,Delta ActiveSG Gym,3.9,gym (I),3.9(450),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipMTEOmGBjqo24JyLQU_e_gPuaurqXrV8xNSlKoE=w122-h92-k-no,Sports Lifestyle Centre,3.6,swimming (O),3.6(39),Sports complex 
https://lh5.googleusercontent.com/p/AF1QipOktcEYJltIkKCifNmGP9bJGldZn3gNNsB7MVeL=w80-h106-k-no,Delta Swimming Complex,4,swimming (O),4.0(350),Public swimming pool 
https://lh5.googleusercontent.com/p/AF1QipOlLSPXGKUEz05iTrnoxjUPnuQf1_YEiJeHar5K=w122-h92-k-no,SCC Dempsey Field,3.6,football (o),3.6(14),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipNC2hGun2hFIzQuUQhaCVAV1JyA3QsVJw3gumOq=w122-h92-k-no,Street Soccer Field,5,football (o),5.0(1),Soccer practice 
https://lh5.googleusercontent.com/p/AF1QipM6fO9cIpKx5fKvwwVWCX-PcF-V4Ng8TEpl1JE=w122-h92-k-no,The Arena Shelton,4.8,football (o),4.8(5),Soccer field 
https://lh5.googleusercontent.com/p/AF1QipPpRGXFulmzQZWsJoNdHHgW11I3Nae705PZn0va=w122-h92-k-no,Blk 102 Futsal Court,4,football (o),4.0(1),Futsal court 
https://lh5.googleusercontent.com/p/AF1QipM-QDudWhogImbjSFOTbM5NDXpukuHlqK1rjjGk=w122-h92-k-no,Street Soccer Field,5,football (o),5.0(1),Soccer field 
https://lh5.googleusercontent.com/p/AF1QipMcyXoPptNO6VAkwsiKxmC_-ojZg5epW5u_3V0A=w122-h92-k-no,BPHP Futsal Court,4.2,football (o),4.2(24),Futsal court 
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3UPdaWMnHkGUt0JFlfBG2A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=111.61226&pitch=0&thumbfov=100,Mapletree Business City Basketball Court,,basketball (i),Basketball court ,Basketball court 
https://lh5.googleusercontent.com/p/AF1QipOg0e_TlXYYbsY4WfxmryqIq1gCgwHEYF8bVUQt=w80-h106-k-no,Blk 45 Basketball Court,2.5,basketball (O),2.5(2),Basketball court 
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZbslUEGvYkGAgT3FRNfKHQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=169.22774&pitch=0&thumbfov=100,Basketball Court - Bukit Teresa Rd,4,basketball (O),4.0(1),Basketball court 
https://lh5.googleusercontent.com/p/AF1QipNtECA24Pewfh1UQSAAcUmJrMtHLRhbRZZDWEbX=w80-h106-k-no,Badminton court - Blk 1 Telok Blangah Crescent,1,badminton (O),1.0(1),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipODArCbjG0DHsJErANWibog_nzYnJPudJdpu6-m=w122-h92-k-no,Badminton court - Blk 135 Jalan Bukit Merah,4,badminton (O),4.0(2),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipNSmCplCsGDXygZIa1BXNplAkrQLPf8KwoicEf-=w163-h92-k-no,Badminton Courts,3.5,badminton (i),3.5(11),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipMR1HMUjN435SGDXxZUntORr1_J9AKbcVaDA3dV=w80-h106-k-no,Blk 102 Badminton Court,4,badminton (O),4.0(2),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipPM1rG0OGLT2NFDoX8MLljK6L5C9CYExSWMOWJ0=w122-h92-k-no,Community Hall @ Sprout Hub,3.8,badminton (i),3.8(14),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipMhTmBaNhVuuOlPrMBXD3Z66x6jugeujnVFxDgc=w80-h106-k-no,Badminton court - Blk 95B Henderson Rd,3,badminton (O),3.0(1),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipP3Kl86SJNXNfFtFZlzC8sk-pqDuQi9J0LUZQUr=w80-h106-k-no,Badminton court - Blk 21/22 Jalan Membina,4,badminton (O),4.0(1),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipOnMfHZXh_lHfQKNov_YNm0lE1NqCNd3IkfHy6o=w122-h92-k-no,Blk 49 Kim Pong Rd - Multi-Purpose Court,4,badminton (O),4.0(1),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipPS2joi9TRpeXiucWvy8f1H0JmR49EY_89zrgUI=w122-h92-k-no,Badminton court - Blk 4B Boon Tiong Rd,2,badminton (O),2.0(1),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipMKHVw2qvWtvqaCmMss-_vWWKICWmESmDw1amzH=w80-h106-k-no,Badminton court - Blk 44 Beo Crescent,3,badminton (O),3.0(1),Badminton club 
https://lh5.googleusercontent.com/p/AF1QipPngpM6D0xnuWvjqSx4eDItDN8PlIEYXqiP433D=w122-h92-k-no,Blk 77 Indus Garden Badminton Court,4,badminton (O),4.0(1),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipMPoCpATD5M0JWwxa8Qoyhq3MN5X3WWHjwpzC7q=w122-h92-k-no,Blk 5 Delta Avenue Badminton Court,3,badminton (O),3.0(1),Badminton court 
https://lh5.googleusercontent.com/p/AF1QipMrx49cHjcFmo_wtZM0TUI6SK8VDFsg1jLcxtPO=w80-h106-k-no,Jurong Central Park,4.3,running (O),"4.3(2,398)",Park 
